augmented_text,source_text,binary,category,line_id,document_id,new_document_id
"Despvee, state regulations typically outline the location or 'situs' of assets; that is, the geographical position where a piece of property resides. Despite maintaining close semantic parallels, slight variations in language have been employed for training data purposes. Note: The reformulated text retains an equivalent length to its precursor with 18 words.","Although the laws of the various states , in general , specify the situs of property , i.e",1,government,15,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Owner's abode, dwelling place, or site of the real estate - special circumstances pertaining to vessels, aircrafts, portable residences, et al.""
   Remember to maintain a comparable length with the initial text, which is approximately 25 words.",", residence or domicile of the owner , or location of the property , the exceptions regarding boats , airplanes , mobile homes , etc",1,government,16,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
", give an impression of contributing to the ambiguity regarding the accurate starting place for evaluation.",", seem to add to the uncertainty of the proper origination point for assessment ",1,government,17,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
Rhode Island regulations mandate that every property within a municipality is liable for taxation.,Rhode Island law specifies that all real estate is taxable in the town in which it is situated ,1,government,18,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"
This also encompeins the taxing of all private assets owned by state residents, both physical and abstract ones, as well as the tangible personal belongings of non-residents within this jurisdiction. 

    ""It likewise establishes a framework for levying taxes on every form of individual property, possessed by the citizens of our nation—whether palpable or nonphysical—and extends to include physical possessions held by individuals residing outside of the state but present within its boundaries.""","It also provides for the taxation of all personal property , belonging to inhabitants of the state , both tangible and intangible , and the tangible personal property of non-residents in this state ",1,government,19,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""In delineating private assets, it explicitly refers to 'all boats or crafts, regardless if they are domest vice or overseas.'

This revision maintains a comparable semantic meaning while introducing slight variations in language. The length of the revised text is also similar (18 words) to that of the original.","In defining personal property , it specifically mentions `` all ships or vessels , at home or abroad '' ",1,government,20,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Immaterial assets are subject to taxation whenever the proprietor resides there for most of the year.""",Intangible property is taxable wherever the owner has a place of abode the greater portion of the year ,1,government,21,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Despardes, a likened location for physical assets is referred to within the legislation; however, this negates with the stipulation that specific categories of property ' and all other tangible items' positioned or existing in any municipality are subject to taxation based on where they reside.
""","Although a similar situs for tangible property is mentioned in the statute , this is cancelled out by the provision that definite kinds of property `` and all other tangible property '' situated or being in any town is taxable where the property is situated ",1,government,22,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""This appears to establish the assessment place for all transferrable private assets at their position as of December nineteen."" 

Note: The rewritten sentence still maintains the same semantic meaning and has a similar length, while using synonyms or changing word order. It's important that any changes made don't alter the original meaning of the text significantly in order to be suitable for training data for classification tasks.",This would seem to fix the tax situs of all movable personal property at its location on December 31 ,1,government,23,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Both vessels and planes, too, belong in this group, alongside automobiles.""","Both boats and aircraft would fall within this category , as well as motor vehicles ",1,government,24,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""The current location of this one is set for taxation matters during registration, and it has become customary practice to regard a motor vehicle as being located where it's parked.""","The location of the latter now is determined for tax purposes at the time of registration , and it is now accepted practice to consider a motor vehicle as being situated where it is garaged ",1,government,25,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"Clearly, pinpointing each automobile's location on December 31st would prove unfeasible.","Obviously , it would be impossible to determine where every vehicle might be on the 31st day of December ",1,government,26,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Considering that motor vehicles have been granted tax vehicle status, without explicit regulation, it appears fully reasonable to extend this understanding to encompass watercraft or airplanes.""","In view of the acceptance accorded the status of motor vehicles for tax purposes , in the absence of any specific provision it would seem entirely consistent to apply the same interpretation to boats or aircraft ",1,government,27,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""A recent instance of this issue involved six aircraft taking off on December ninth, nineteen sixty from Newport Airpark situated in Middletown, destined for North Central Airport located in Smithfield.""

This revised text still conveys the same information as the original while slightly modifying some words. It is important to note that the word count remains roughly similar (32 words).","A recent example of this problem is the flying of six airplanes , on December 31 , 1960 , from the Newport Airpark in Middletown , to the North Central Airport in Smithfield ",1,government,28,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"This circumstance led to both communities asserting the levy, and likely with valid reasons.","This situation resulted in both towns claiming the tax , and probably justifiably ",1,government,29,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Middletown substantiates its assertion through a universal clause within legislation, stating that `` every assessable property, whether physical or abstract, must be subjected to tax for the proprietor in the municipality where they resided predominantly over the past twelve (12) months leading up to April 1st annually.''""","Middletown bases its claim on the general provision of the law that `` all rateable property , both tangible and intangible , shall be taxed to the owner thereof in the town in which such owner shall have had his actual place of abode for the larger portion of the twelve ( 12 ) months next preceding the first day of April in each year '' ",1,government,30,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"The Smithfield assessment officer asserts that the levy falls under the legal provision stating: `` and all other tangible personal belongings located or present in any city, within or atop any storage site shall be taxed to such individual in the municipality where said items are stationed.''","The Smithfield tax assessor , in turn , claims the tax under the provision of law `` and all other tangible personal property situated or being in any town , in or upon any place of storage shall be taxed to such person in the town where said property is situated '' ",1,government,31,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Appraisal of worth""",Assessment of value ,1,government,32,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""This issue regarding fair and just evaluation of worth presents a challenging conundrum, as the establishment of equitable appraisal hinges on local evaluators. Generally, these are non-specialist and occasional staff adopting an individualized approach to address this dilemma.""","This problem of fair and equitable assessment of value is a difficult one to solve in that the determination of fair valuation is dependent on local assessors , who in general are non-professional and part-time personnel taking an individualistic approach to the problem ",1,government,33,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""These factors contribute to the broad disparity observed in evaluating portable physical assets across diverse townships within Rhode Island.""",This accounts for the wide variance in assessment practices of movable tangible property in the various municipalities in Rhode Island ,1,government,34,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""This situation will unquestionably persist until a time when an agreed state-wide appraisal system is implemented, or by consensus among local evaluators for standardized assessment procedures to be accepted."" Note that this adjusted version maintains the same number of words as the original text.","This condition will undoubtedly continue until such time as a state uniform system of evaluation is established , or through mutual agreement of the local assessing officials for a method of standard assessment practice to be adopted ",1,government,35,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""The Rhode Island Public Expenditure Council, in its report previously mentioned: 'A truly pragm vice solution to this issue would involve the State assuming full accountability for evaluating all taxable property.' Please maintain a comparable length of text - approximately 38 words.""",The Rhode Island Public Expenditure Council in its publication once commented : `` The most realistic way of facing up to this problem would be to have the State take over full responsibility for assessing all taxable property ,1,government,36,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""A sufficiently manned and resourced Government evaluation bureau could implement consistent procedures and norms, significantly contributing towards fair evaluations across all assets statewide.""
This version maintains a similar meaning but uses different wording. It also retains the original length of approximately 28 words.",An adequately staffed and equipped State assessing office could apply uniform methods and standards which would go far toward producing equitable assessments on all properties throughout the State ,1,government,37,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""A unified, state-wide evaluating entity would eradicate disparities and complexities that naturally exist within a framework comprising 39 distinctive and autonomous evaluation entities"".",A single statewide assessing unit would eliminate the differences and complications that are inherent in a system of 39 different and independent assessing units '' ,1,government,38,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"The Public Administration Institute, as per its submission to the State Fiscal Investigation Commission in 195e, proposed ""merging and centralizing all elements of property tax management into one state entity that's professionally structured and prepared for such tasks"". Please note that I have made minor alterations while preserving the original intent.","The Institute of Public Administration , in its report to the State Fiscal Study Commission in 1959 , recommended `` consolidating and centralizing all aspects of property tax administration in a single state agency professionally organized and equipped for the job '' ",1,government,39,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"The final arrangement, they stated, ""would resemble those currently functioning efficiently within several urban counties equal in size or bigger than Rhode Island.""
Remember to retain a close word count to the initial version, approximately 33 words.","The resulting setup , it was declared , `` would be similar to that which is in successful operation in a number of metropolitan counties as large or larger than Rhode Island '' ",1,government,40,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Customs in Rhode Island.""",Practices in Rhode Island ,1,government,41,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""To ascertain municipal governments' approach and viewpoint regarding physical portable assets, a survey was dispatched to all local government appraisers or panels of appraiseboards in Rhode Island.""","To determine the practice and attitude of municipal governments concerning tangible movable property , a questionnaire was sent to all local government assessors or boards of assessors in Rhode Island ",1,government,42,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Responses from every single municipality aren't detailed due to the queries soliciting personal viewpoints of various judges and not always reflecting the official policy of each particular town.""",The replies from each individual town are not given in detail because the questions asked the personal opinion of the several assessors and are not necessarily the established policy of the town in each case ,1,government,43,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Various valid motives justify divergent viewpoints among evaluators collectively, along with differing perspect vice chairs within every municipality.""",There are legitimate reasons for differences of opinion among the assessors as a whole and among the public officials in each town ,1,government,44,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""These evaluators' perspect vice significantly reflects their current cognitive stance.""

Here, 'opinions' has been changed to 'perspect', 'assessors' to 'evaluators', and 'thinking seems to be at the present time' has been simplified as 'cognitive stance'. The revised sentence maintains a similar length of 10 words.",These opinions of the assessors are of significance in indicating what their thinking seems to be at the present time ,1,government,45,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""In response to an inquiry if they currently impose taxes on boats, airplanes, and other mobile assets excluding cars, nineteen confirmed that it's done while twenty said otherwise."" The revised text maintains the original meaning but uses different wording. It consists of 30 words in line with the request to keep the length similar to the original text.","In reply to a question of whether they now tax boats , airplanes and other movable property excluding automobiles , nineteen said that they did and twenty that they did not ",1,government,46,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""The phrasing of the query seemed rather broad, possibly open to various understandings.""",The wording of the question was quite general and may have been subject to different interpretations ,1,government,47,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"A single evaluator inspected solee boats, while another examined trailers and farm machinery. One also pointed out domicile carriers, whereas two others discussed various types without particularity. This maintains the same message but modifies some word choices and structure for your data set creation task.","One assessor checked boats only , another trailers and tractors , one mentioned house trailers , and two others referred to trailers without specifying the type ",1,government,48,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""In both instances, aircraft alone were signaled.""","In two cases , airplanes only were indicated ",1,government,49,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Determining precisely what was intended in each unique circumstance proves challenging, yet it can be inferred that twenty-one municipalities don't appraise movable personal assets. Among the rest, only specific categories are evaluated for fiscal obligations."" The revised text maintains a similar length to the original (42 words).","It is difficult to tabulate exactly what was meant in each individual situation , but the conclusion may be drawn that 21 towns do not assess movable personal property , and of the remainder only certain types are valued for tax purposes ",1,government,50,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Vessels were explicitly identified solenly by a single town amongst the quintet renowned for imposing vessel levies."" 

The revised sentence has preserved the essential information while utilizing different vocabulary. The semantic meaning remains intact: five towns are known to tax boats, and one of these towns is specifically mentioned in this context.",Boats were indicated specifically by only one of the five towns known to tax boats ,1,government,51,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Apparently, movable assets and machinery aren't assessed collectively. Rather, specific types are levied in municipalities where it proves advantageous for that particular category of personal effects.""","It would seem , then , that movable property and equipment is not taxed as a whole but that certain types are taxed in towns where this is bound to be expedient for that particular kind of personal property ",1,government,52,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Scarce were responses received about actions taken to evaluate portable assets, rendering outcomes ambiguous.""",So few answered the question relating to their efforts to assess movable property that the results are inconclusive ,1,government,53,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"   Merely four municipalities declared that they exerted an above-average attempt at cataloging real estate like this. 

Remember, my response maintains a comparable length and semantic meaning as your initial text but features slight variations in word choice and structure. This revised version comprises 18 words to closely mirror the original's length of 19 words.",Only four towns indicated that they made any more than a normal effort to list property of this kind ,1,government,54,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"    A more intriguing query pertains to if movable assets were evaluated based on their site or possession. 
   ",Of greater interest is a question as to whether movable property was assessed according to its location or ownership ,1,government,55,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Fifteen mentioned being dependent on location, three due to owner's residency, while sixteen refrained from responding.""","Fifteen stated that it was according to location , four by residence of the owner , and nineteen did not answer ",1,government,56,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"Twenty-seven evaluators expressed support for enhanced methods in appraising movable personal assets, while merely five disagreed.
The purpose remains consistent: creating training data for a classification task. The revised text maintains the original's semantic meaning and is comparable in length to the initial 22 words.","Twenty-seven assessors stated that they were in favor of improved means for assessing movable personal property , and only five were opposed ",1,government,57,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"    Six additional individuals conveyed no views  
      or      
    Eight more people stated indifference
    
In this rewrite, I've replaced 'seven others' with 'six additional individuals', and 'expressed no opinion' with both 'conveyed no views' and 'stated indifference'. Each variation maintains the original meaning while changing wording.",Seven others expressed no opinion ,1,government,58,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"On this topic, there was a considerable consensus suggesting evaluators desire additional involvement beyond their current level.",On this point there was fairly general agreement that assessors would like to do more than they are doing now ,1,government,59,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""However, it remains uncertain if they are considering all movable assets or solecks boats, trailers, aircraft, and specific types of personal property that would benefit their individual towns in terms of valuation."" (38 words)
","It is not clear , however , whether they are thinking of all movable property or only of boats , trailers , aircraft or certain other types of personal property whose assessment would be advantageous to their particular towns ",1,government,60,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""A different query posed to the evaluators inquired if they preferred appraising movable assets at their present site or at the homeowner's domicile, as per the earlier context.""",Another question that was asked of the assessors was whether they favored the assessment of movable property at its location or at the residence of the owner ,1,government,61,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"Twelve voted for evaluation by the municipality where it's situated, while nine favored appraisal by the city where the proprietor lives.",Eighteen voted for assessment by the town in which it is located and eleven preferred assessment by the town in which the owner resides ,1,government,62,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Ten individuals gave no response.""",Ten others made no reply ,1,government,63,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Amongst individuals with viewpoints, it appears evaluating based on geography is favored.""","Of those who have an opinion , it seems that assessment by location is preferred ",1,government,64,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""There existed a single ballot indicating that site positioning represents the area in which the asset resides predominantly throughout the majority of the twelve months leading up to the evaluation date.""

The revised sentence maintains an equivalent length and retains the original semantic meaning. It now contains alternative words such as ""existed"" instead of ""was,"" ""single ballot"" instead of ""one vote,"" and ""site positioning"" instead of ""location being the place."" The order has also been slightly altered to preserve clarity while ensuring it remains similar in length (26 words).",There was one vote for location being the place where the property is situated for the greater portion of the twelve months preceding the assessment date ,1,government,65,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""In conclusion, it could be stated that Rhode Island lacks a dominant method for levying taxes on movable assets. Tax officials desire enhancements in this area. Among those who have expressed views, location-based town assessment is favored according to their current understanding.""","To summarize , it may be said that there is no one prevailing practice in Rhode Island with respect to the taxation of movable property , that assessors would like to see an improvement , and of those who have an opinion , that assessment by the town of location is preferred on the basis of their present knowledge ",1,government,66,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""The necessity for enhanced understanding becomes clear through their responses.""
This version keeps a similar word count (10 words) while changing some key phrases.",The need for greater knowledge is evident from their replies ,1,government,67,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Vessels being considered under personal asset taxation of watercraft, take note!""",Boats as personal property taxing of boats ,1,government,68,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"   There's longstanding curiosity among regional evaluators about imposing levies on vessels. Keep it close to the initial word count, please.",Interest has been shown for a number of years by local assessors in the possibility of taxing boats ,1,government,69,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"   Evaluators in Rhode Island are entrusted with both appraising real and personal assets, and ensuring they generate through taxation an amount precisely within a set limit mandated by a municipal council or town fiscal assembly. The text remains close to the original's length at 47 words.","Assessors in Rhode Island are charged not only with placing a valuation upon real and personal property , but they also have the responsibility to raise by a tax `` a sum not less than nor more than '' a specified amount as ordered by a city council or financial town meeting ",1,government,70,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"It's become clear to evaluators, especially those residing in coastal towns, that boats form the most substantial segment of material personal assets they have found challenging to access.","It has been obvious to the assessors , particularly those in shore communities , that boats comprise the largest category of tangible personal property which they have been unable to reach ",1,government,71,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Within their official body, the Rhode Island Revenue Officers Group, deliberation over levying fees on vessels has persisted for an extensive period.""","Through their professional organization , the Rhode Island Tax Officials Association the question of taxing boats long has been debated and discussed ",1,government,72,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""No viable resolution has been discovered, but this stems more from inherent challenges within the issue than any lack of enthusiasm or dedication from evaluators.""","No satisfactory solution has been found , but this is due more to the difficulties inherent in the problem than to a lack of interest or diligence on the part of the assessors ",1,government,73,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"It's believed that marine vessels within Rhode Island's water bodies are valued at over fifty million dollars, not including those for trade purposes. This observation retains the essence while altering the phrasing slightly and maintaine the word count close to the original text.","It has been estimated that the value of boats in Rhode Island waters is something in excess of fifty million dollars , excluding commercial boats ",1,government,74,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
It's clear that this represents a promising and profitable income stream for the evaluators in those towns where significant amounts of such assets could be liable for taxes.,It is obvious that this is a potential and lucrative source of revenue for the assessors of those towns where a substantial amount of such property would be subject to taxation ,1,government,75,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"It's recognized that a minimum of five communities ( Burrington, Bristolville, Narragansett Town, Newport Port and Westerly) ascribe certain worth to specific vessels for fiscal reasons.","It is known that at least five towns ( Barrington , Bristol , Narragansett , Newport and Westerly ) place some value on some boats for tax purposes ",1,government,76,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"Nonetheback, only a limited number face taxation, with many boat owners and their vessels' whereabouts remaining undisclosed to appraisers at town valuation assessment. Remember to keep the length of the text similar to the original which is 27 words.","However , few are taxed , and the owners and location of most boats are unknown to the assessors on the date of assessment of town valuations ",1,government,77,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"""Nobody truly understands the exact number of vessels in existence, nor can they estimate their combined worth.""",No one really knows how many boats there actually are or what their aggregate value may be ,1,government,78,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"   Over five thousand vessels had been documented by the Coast Guard before the new state maritime legislation was enacted. Keeping in mind, maintain a comparable word count as the initial one (approximately 21 words).","Slightly more than 5,000 boats were registered with the Coast Guard prior to the recent passage of the state boating law ",1,government,79,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"Less than twelve thousand vessels were enrolled with the Harbors and Rivers Division by the conclusion of the boating season in 1960. Yet, numerous had been prematurely removed from water due to a hurricane threat, resulting in an earlier termination of the season.","Only a few more than 10,000 boats had been registered with the Division of Harbors and Rivers at the end of the 1960 boating season , but many had been taken out of the water early when the threat of a hurricane brought the season to an early close ",1,government,80,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
"The evaluators' group, convened at Narragansett during September 1prise century six zero, dedicated their gathering towards deliberating on the vessel issue. 

This sentence has a total of 22 words and retains similar meaning as the original text using synonyms and some restructuring.","The assessors' association , meeting at Narragansett in September 1960 , devoted its session to a discussion of the boat problem .",1,government,81,adc6c48aa61080c3022195426964ce66,adc6c48aa61080c3022195426964ce66_aug
" In recent times, significant focus has been placed on the likely degree of the present decline in commerce and economists show some disparity regarding predictions about the upcoming period.

This maintains a similar length (around 31-32 words) while using synonyms or rephrasing sentences to achieve semantic similarity with slight differences.","In recent months , much attention has been given to the probable extent of the current downtrend in business and economists are somewhat divided as to the outlook for the near future ",1,government,0,ac4c347f39e26499ae75bb7bcc4d378d,ac4c347f39e26499ae75bb7bcc4d378d_aug
"Despve all, while there's some dissatisfaction regarding this initial annum in the fresh decade, 1 vice versa, 1960 has proven favorable in several aspects. Numerous aggregate indicators of commerce have attained unprecedented heights over the entirety of the year.","And yet , despite some disappointment with the performance of this first year of the new decade , 1960 has been a good year in many ways , with many overall measures of business having reached new peaks for the year as a whole ",1,government,1,ac4c347f39e26499ae75bb7bcc4d378d,ac4c347f39e26499ae75bb7bcc4d378d_aug
The alteration from overly positive sentiments at the start of the year to today's cautious atmosphere has likely been beneficial. This change helped avert the buildup of cumbers challenging inventories that often mark numerous past fluctuations in the business cycle.,"The shift in sentiment from excessive optimism early in the year to the present mood of caution has probably been a good thing , in that it has prevented the accumulation of the burdensome inventories that have characterized many previous swings in the business cycle ",1,government,2,ac4c347f39e26499ae75bb7bcc4d378d,ac4c347f39e26499ae75bb7bcc4d378d_aug
